price,address,date_sold,bedroom,bathroom,carport,dwelling
260000,30/838-842 Hay Street,2018-07-15,1,1,0,Apartment
569000,150/369 Hay Street,2018-07-11,3,2,2,Apartment
505000,15/258-264 Newcastle Street,2018-07-10,2,2,2,Apartment
415000,304/2 St Georges Terrace,2018-07-07,2,2,1,Apartment
330000,37/838-842 Hay Street,2018-07-07,1,1,0,Apartment
363000,39/569 Wellington Street,2018-07-03,1,1,0,Apartment
370000,13/229 Adelaide Terrace,2018-06-27,1,1,1,Apartment
650000,128/22 St Georges Terrace,2018-06-26,2,2,1,Apartment
475000,16/273 Beaufort Street,2018-06-25,2,2,1,Apartment
735000,1901/105-111 Stirling Street,2018-06-21,2,2,2,Apartment
475000,6/273 Beaufort Street,2018-06-20,2,2,1,Apartment
742500,1701/105 Stirling Street,2018-06-19,2,2,2,Off The Plan
268000,61/15 Aberdeen Street,2018-06-18,1,1,1,Apartment
214000,31/33 Mounts Bay Road,2018-06-18,1,1,0,Apartment
440000,1302/237 Adelaide Terrace,2018-06-15,2,2,1,Apartment
365000,13/128 Mounts Bay Road,2018-06-11,2,2,1,Apartment
755000,34 Randell Street,2018-06-08,2,1,2,Townhouse
260000,11B/811 Hay Street,2018-06-07,1,1,0,Apartment
590000,10 Wade Street,2018-06-06,3,2,1,House
740000,186 Brisbane Street,2018-05-31,2,1,2,House
538000,Address Available On Request,2018-05-30,2,2,1,Apartment
535000,G601/2 St Georges Terrace,2018-05-28,2,2,1,Apartment
765000,5 Primrose Street,2018-05-28,4,2,2,House
480000,29 'Equus' 580 Hay Street,2018-05-28,2,2,1,Apartment
810000,14 Lacey Street,2018-05-25,3,1,2,House
509000,38/152 Fitzgerald Street,2018-05-22,2,2,1,Apartment
